sample_accession,sample_title,source_name,organism,group,subject_id
GSM254711,Normal Lung_GT01237,Normal Lung Tissue,Homo sapiens,Non-tumor,
GSM254712,Normal Lung_GT01239,Normal Lung Tissue,Homo sapiens,Non-tumor,
GSM254713,Normal Lung_GT01240,Normal Lung Tissue,Homo sapiens,Non-tumor,
GSM254714,Lung Tumor_GT01243,Adenocarcinoma of the Lung,Homo sapiens,Tumor,
GSM254715,Normal Lung_GT01243,Normal Lung Tissue,Homo sapiens,Non-tumor,
GSM254716,Lung Tumor_GT01246,Adenocarcinoma of the Lung,Homo sapiens,Tumor,
GSM254717,Normal Lung_GT01246,Normal Lung Tissue,Homo sapiens,Non-tumor,
GSM254718,Lung Tumor_GT01247,Adenocarcinoma of the Lung,Homo sapiens,Tumor,
GSM254719,Normal Lung_GT01247,Normal Lung Tissue,Homo sapiens,Non-tumor,
GSM254720,Lung Tumor_GT01274,Adenocarcinoma of the Lung,Homo sapiens,Tumor,
GSM254721,Lung Tumor_GT01276,Adenocarcinoma of the Lung,Homo sapiens,Tumor,
GSM254722,Lung Tumor_GT01279,Adenocarcinoma of the Lung,Homo sapiens,Tumor,
GSM254723,Normal Lung_GT01283,Normal Lung Tissue,Homo sapiens,Non-tumor,
GSM254724,Lung Tumor_GT01411,Adenocarcinoma of the Lung,Homo sapiens,Tumor,
GSM254725,Normal Lung_GT01417,Normal Lung Tissue,Homo sapiens,Non-tumor,
GSM254726,Lung Tumor_GT01421,Adenocarcinoma of the Lung,Homo sapiens,Tumor,
GSM254727,Normal Lung_GT01421,Normal Lung Tissue,Homo sapiens,Non-tumor,
GSM254728,Lung Tumor_GT01425,Adenocarcinoma of the Lung,Homo sapiens,Tumor,
GSM254729,Lung Tumor_GT01445,Adenocarcinoma of the Lung,Homo sapiens,Tumor,
GSM254730,Normal Lung_GT01445,Normal Lung Tissue,Homo sapiens,Non-tumor,
GSM254731,Normal Lung_GT01479,Normal Lung Tissue,Homo sapiens,Non-tumor,
